=== NQL SDK RAM SNAPSHOT 001 ===
timestamp=2026-04-13 15:22:41.050
WorkingSet=6315.1 MB
PeakWorkingSet=6320.1 MB
PrivateBytes=6348.8 MB
PagefileUsage=6348.8 MB
PeakPagefile=6360.9 MB
VRAM_Local=215.9 MB  (discrete GPU memory in use)
VRAM_Shared=0.0 MB  (system RAM used by GPU for non-local resources)
TextureArray_Est=3.44 MB  (block+font atlas, RGBA8 no mips, 881 layers)
ResidentChunks=335


[RAM: per-chunk breakdown — all values are CPU RAM unless noted]
SLOT   CX     CZ     SCX    SCZ    ROLE | BLK_KB   CMESH_KB   UPLOAD_KB SUB_KB   SIM_KB  CONS_KB  TOTAL_KB 
255    -15    -16    -1     -1     PRI  | 2192     0          0         18115    512     0        20819    
256    -16    -15    -1     -1     PRI  | 2160     0          0         17874    512     0        20546    
257    -3     1      -1     0      WALL | 1544     0          0         12779    512     0        14835    
258    -6     1      -1     0      WALL | 1544     0          0         11929    512     0        13985    
259    -7     1      -1     0      WALL | 1544     0          0         11913    512     0        13969    
260    -16    -16    -1     -1     PRI  | 2176     0          0         21296    512     0        23984    
261    -2     1      -1     0      WALL | 1728     0          0         14905    512     0        17145    
262    -8     1      -1     0      WALL | 1544     0          0         11676    512     0        13732    
263    0      1      0      0      WALL | 4096     0          0         6438     512     0        11046    
264    -9     1      -1     0      WALL | 1544     0          0         11423    512     0        13479    
265    1      0      0      0      WALL | 4096     0          0         6438     512     0        11046    
266    -1     1      -1     0      WALL | 2144     0          0         19704    512     0        22360    
267    -10    1      -1     0      WALL | 1544     0          0         11898    512     0        13954    
268    1      -3     0      -1     WALL | 2792     0          0         22922    512     0        26226    
269    1      -7     0      -1     WALL | 2224     0          0         18761    512     0        21497    
270    -11    1      -1     0      WALL | 1544     0          0         13372    512     0        15428    
271    1      -4     0      -1     WALL | 2728     0          0         23460    512     0        26700    
272    1      -8     0      -1     WALL | 2152     0          0         17996    512     0        20660    
273    1      -6     0      -1     WALL | 2392     0          0         19846    512     0        22750    
274    1      -5     0      -1     WALL | 2568     0          0         22294    512     0        25374    
275    1      -9     0      -1     WALL | 2264     0          0         18469    512     0        21245    
276    -12    1      -1     0      WALL | 1544     0          0         13512    512     0        15568    
277    1      -2     0      -1     WALL | 2792     0          0         22356    512     0        25660    
