Performance Profiler Log
Started: 20260412_012909
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
197,33.919,33.826,0.093,13.029,0.003,0.684,19.979,0.006,0.035,0.013,0.002,0.010,0.003,0.061
198,32.912,32.832,0.080,31.577,0.004,0.714,0.177,0.006,0.037,0.014,0.045,0.008,0.003,0.248
199,33.171,33.115,0.055,32.011,0.002,0.685,0.320,0.003,0.024,0.010,0.001,0.006,0.002,0.051
200,35.886,35.805,0.082,4.510,0.002,0.680,30.513,0.002,0.024,0.011,0.001,0.006,0.002,0.053
201,33.117,33.042,0.074,32.020,0.003,0.675,0.173,0.006,0.035,0.014,0.043,0.007,0.003,0.064
202,31.662,31.578,0.084,6.356,0.004,0.657,24.442,0.006,0.031,0.013,0.001,0.009,0.003,0.057
203,34.017,33.935,0.082,32.897,0.004,0.717,0.179,0.007,0.036,0.015,0.002,0.012,0.003,0.065
204,32.597,32.532,0.066,31.546,0.003,0.685,0.177,0.004,0.029,0.016,0.001,0.008,0.003,0.060
205,33.173,33.120,0.054,31.183,0.002,1.620,0.176,0.004,0.022,0.011,0.041,0.005,0.003,0.053
206,33.558,33.515,0.043,32.578,0.001,0.677,0.173,0.003,0.018,0.009,0.001,0.005,0.002,0.048
207,34.098,34.004,0.093,11.308,0.003,0.686,21.886,0.005,0.033,0.012,0.002,0.009,0.003,0.059
208,32.321,32.249,0.072,31.216,0.003,0.682,0.179,0.005,0.036,0.013,0.043,0.007,0.003,0.061
209,32.829,32.767,0.061,31.804,0.002,0.678,0.175,0.003,0.027,0.011,0.001,0.007,0.003,0.055
210,33.929,33.881,0.048,32.942,0.001,0.669,0.176,0.002,0.022,0.010,0.001,0.005,0.002,0.051
